link,title,pubDate,description,thumbnail
https://www.cnnindonesia.com/nasional/20230919174112-617-1001066/anies-nilai-kebebasan-berpendapat-di-indonesia-bermasalah-skornya-5,Anies Nilai Kebebasan Berpendapat di Indonesia Bermasalah: Skornya 5,2023-09-19T11:03:02.000Z,Bakal calon presiden Koalisi Perubahan Anies Baswedan menilai kebebasan berpendapat di Indonesia sedang bermasalah.,https://akcdn.detik.net.id/visual/2023/09/19/bacapres-dari-kpp-anies-baswedan-5_169.jpeg?w=360&q=90
https://www.cnnindonesia.com/gaya-hidup/20230919120030-255-1000839/banyak-yang-mengeluh-diare-apa-benar-hanya-gara-gara-cuaca-buruk,"Banyak yang Mengeluh Diare, Apa Benar Hanya Gara-gara Cuaca Buruk?",2023-09-19T11:00:24.000Z,"Dalam beberapa pekan terakhir, banyak orang mengeluhkan gejala demam hingga diare. Apa penyebabnya? Benarkah semata-mata karena cuaca dan udara yang buruk?",https://akcdn.detik.net.id/visual/2022/04/12/ilustrasi-diare_169.jpeg?w=360&q=90
https://www.cnnindonesia.com/ekonomi/20230919160958-94-1001020/foto-teriak-pedagang-pasar-tanah-abang-desak-tiktok-shop-dilarang,FOTO: Teriak Pedagang Pasar Tanah Abang Desak TikTok Shop Dilarang,2023-09-19T11:00:23.000Z,Pedagang Pasar Tanah Abang mendesak Menkop UKM Teten Masduki dan pemerintah melarang TikTok Shop karena telah membuat usaha mereka sepi.,https://akcdn.detik.net.id/visual/2023/09/19/pedagang-pasar-tanah-abang-protes-tutup-tiktok-shop-7_169.jpeg?w=360&q=90
https://www.cnnindonesia.com/ekonomi/20230919175428-92-1001072/warga-puas-belanja-buah-di-transmart-full-day-sale,Warga Puas Belanja Buah di Transmart Full Day Sale,2023-09-19T10:58:11.000Z,"Warga mengaku puas dan senang bisa berbelanja dengan potongan diskon dalam rangka promo Transmart Full Day Sale, Selasa (19/9).",https://akcdn.detik.net.id/visual/2023/08/11/transmart-full-day-sale_169.jpeg?w=360&q=90
https://www.cnnindonesia.com/nasional/20230919124923-20-1000871/prabowo-buka-kemungkinan-lapor-polisi-soal-isu-cekik-wamen,Prabowo Buka Kemungkinan Lapor Polisi soal Isu Cekik Wamen,2023-09-19T10:54:24.000Z,Prabowo Subianto akan mempelajari kemungkinan melapor polisi soal isu liar mencekik wamen pada rapat di Istana.,https://akcdn.detik.net.id/visual/2023/07/26/prabowo-hadiri-rakernas-apdesi-jambi-1_169.jpeg?w=360&q=90
https://www.cnnindonesia.com/nasional/20230919172023-12-1001060/anies-kpk-harus-independen-seperti-dulu,Anies: KPK Harus Independen Seperti Dulu,2023-09-19T10:43:47.000Z,"Selain lebih independen, Anies juga ingin agar KPK bisa diawasi. Ia khawatir lembaga antirasuah tersebut disalahgunakan.",https://akcdn.detik.net.id/visual/2023/09/19/bacapres-dari-kpp-anies-baswedan-1_169.jpeg?w=360&q=90
https://www.cnnindonesia.com/olahraga/20230919165629-142-1001051/susunan-pemain-indonesia-vs-kirgistan-titan-agung-striker,Susunan Pemain Indonesia vs Kirgistan: Titan Agung Striker,2023-09-19T10:43:15.000Z,"Timnas Indonesia U-24 memainkan Titan Agung sebagai starter melawan Kirgistan pada pertandingan pertama Grup F Asian Games 2023, Selasa (19/9).",https://akcdn.detik.net.id/visual/2023/05/04/indonesia-vs-myanmar-15_169.jpeg?w=360&q=90
https://www.cnnindonesia.com/ekonomi/20230919114134-97-1000826/hari-ini-aja-baju-anak-dan-dewasa-diskon-gede-gedean-di-transmart,Hari Ini Aja! Baju Anak dan Dewasa Diskon Gede-gedean di Transmart,2023-09-19T10:40:40.000Z,Beragam baju anak sampai dewasa didiskon gede-gedean di Transmart khusus hari ini aja selama gelaran Full Day Sale berlangsung.,https://akcdn.detik.net.id/visual/2023/04/16/berburu-diskon-di-transmart-full-day-sale_169.jpeg?w=360&q=90
https://www.cnnindonesia.com/nasional/20230919171747-617-1001059/anies-klaim-sejumlah-perusahaan-diperiksa-pajak-usai-bantu-pencapresan,Anies Klaim Sejumlah Perusahaan Diperiksa Pajak Usai Bantu Pencapresan,2023-09-19T10:40:13.000Z,Anies Baswedan mengklaim terdapat sejumlah pengusaha menengah hingga besar yang takut untuk mendukungnya sebagai capres di pilpres 2024.,https://akcdn.detik.net.id/visual/2023/09/19/bacapres-dari-kpp-anies-baswedan-1_169.jpeg?w=360&q=90
https://www.cnnindonesia.com/hiburan/20230919133550-220-1000899/sinopsis-american-assassin-bioskop-trans-tv-19-september-2023,"Sinopsis American Assassin, Bioskop Trans TV 19 September 2023",2023-09-19T10:40:11.000Z,"Bioskop Trans TV malam ini, Selasa (19/9), akan menayangkan American Assassin (2017) pada pukul 21.00 WIB.",https://akcdn.detik.net.id/visual/2022/08/11/film-american-assassin-2017_169.png?w=360&q=90
https://www.cnnindonesia.com/teknologi/20230919132215-201-1000882/foto-alien-meksiko-jalani-pemeriksaan-sinar-x,FOTO: 'Alien' Meksiko Jalani Pemeriksaan Sinar-X,2023-09-19T10:35:01.000Z,Dua sosok 'alien' Meksiko ramai-ramai kena hujat komunitas ilmuwan lantaran tak punya dasar studi ilmiah. Salah satu pendukung pun mengetesnya Sinar-X.,https://akcdn.detik.net.id/visual/2023/09/19/mumi-alien-meksiko-dicek-keasliannya-menggunakan-x-ray-2_169.jpeg?w=360&q=90
https://www.jpnn.com/news/majelis-latupati-maluku-siap-bantu-dinasti-nusantara-menangkan-ganjar-pranowo,Majelis Latupati Maluku Siap Bantu Dinasti Nusantara Menangkan Ganjar Pranowo,2023-09-19T15:30:01.000Z,"JPNN.com, AMBON - Ketua Umum Majelis Latupati Provinsi Maluku, H. Ibrahim Wokas mengaku siap mendorong Ganjar Pranowo sebagai Presiden Indonesia pada 2024.",https://cloud.jpnn.com/photo/arsip/normal/2023/09/19/silaturahmi-dinasti-nusantara-di-maluku-sekaligus-kesiapan-u-sfbg.jpg
https://www.jpnn.com/news/kasus-penipuan-masuk-ipdn-yang-menyeret-anggota-dprd-purwakarta-diusut-polisi,Kasus Penipuan Masuk IPDN yang Menyeret Anggota DPRD Purwakarta Diusut Polisi,2023-09-19T15:20:24.000Z,"JPNN.com, KARAWANG - Polisi mulai mengusut kasus dugaan penipuan dan penggelapan uang senilai ratusan juta rupiah yang menyeret anggota DPRD Kabupaten Purwakarta.",https://cloud.jpnn.com/photo/arsip/watermark/2021/03/26/mantan-kapolres-sanggau-inisial-rk-menjadi-terdakwa-kasus-du-54.jpg
https://www.jpnn.com/news/pakar-beberkan-alasan-yusril-ihza-mahendra-paling-layak-dampingi-prabowo,Pakar Beberkan Alasan Yusril Ihza Mahendra Paling Layak Dampingi Prabowo,2023-09-19T15:11:11.000Z,"JPNN.com, JAKARTA - Pengamat politik dari Lembaga Riset Publik (LRP) Muhammad Al-Fatih menilai Yusril Ihza Mahendra adalah sosok yang paling pantas jadi cawapres pendamping Prabowo Subianto.",https://cloud.jpnn.com/photo/arsip/normal/2023/08/24/ilustrasi-sekjen-pbb-afriansyah-noor-ketua-umum-pbb-yusril-o-x409.jpg
https://www.jpnn.com/news/ganjar-pranowo-bisa-raih-banyak-dukungan-dari-gen-z,Ganjar Pranowo Bisa Raih Banyak Dukungan dari Gen Z,2023-09-19T15:10:58.000Z,"JPNN.com, JAKARTA - Bacapres Ganjar Pranowo dinilai berpotensi meraup banyak suara generasi Z karena sering berkunjung ke kampus-kampus.",https://cloud.jpnn.com/photo/arsip/normal/2023/09/18/bakal-capres-2024-ganjar-pranowo-dok-tim-media-ganjar-crko6-qxot.jpg
https://www.jpnn.com/news/mahasiswa-ugm-beri-sambutan-antusias-ganjar-merasa-seperti-pulang-kampung,"Mahasiswa UGM Beri Sambutan Antusias, Ganjar Merasa Seperti Pulang Kampung",2023-09-19T15:06:44.000Z,"JPNN.com - SLEMAN - Bakal Calon Presiden 2024 Ganjar Prabowo mendapat sambutan antusias dari ribuan mahasiswa Universitas Gajah Mada (UGM) saat hadir di acara Mata Najwa On Stage, Selasa (19/9).&nbsp;",https://cloud.jpnn.com/photo/arsip/normal/2023/09/19/bakal-calon-presiden-2024-ganjar-prabowo-mendapat-sambutan-a-4p2n.jpg
https://www.jpnn.com/news/keren-tim-pelapis-timnas-u-24-indonesia-taklukkan-peringkat-97-fifa,"Keren, Tim Pelapis Timnas U-24 Indonesia Taklukkan Peringkat 97 FIFA",2023-09-19T15:03:02.000Z,"JPNN.com, JAKARTA - Timnas Indonesia memetik hasil gemilang pada laga pembuka Grup F Asian Games 2022 dengan mengalahkan Kirgistan 2-0, Selasa (19/9/2023).",https://cloud.jpnn.com/photo/arsip/normal/2023/09/19/pemain-timnas-u-24-indonesia-merayakan-gol-seusai-mencetak-g-xkwi.jpg
